name	commits
tensorflow/cc/tutorials/example_trainer.cc	6
tensorflow/compiler/aot/BUILD	6
tensorflow/compiler/aot/benchmark.cc	2
tensorflow/compiler/aot/benchmark.h	1
tensorflow/compiler/aot/benchmark_main.template	1
tensorflow/compiler/aot/benchmark_test.cc	1
tensorflow/compiler/aot/codegen.cc	6
tensorflow/compiler/aot/codegen.h	6
tensorflow/compiler/aot/codegen_test.cc	6
tensorflow/compiler/aot/codegen_test_h.golden	6
tensorflow/compiler/aot/codegen_test_o.golden	2
tensorflow/compiler/aot/compile.cc	6
tensorflow/compiler/aot/compile.h	5
tensorflow/compiler/aot/embedded_protocol_buffers.cc	6
tensorflow/compiler/aot/embedded_protocol_buffers.h	6
tensorflow/compiler/aot/flags.cc	6
tensorflow/compiler/aot/flags.h	6
tensorflow/compiler/aot/test.cc	6
tensorflow/compiler/aot/test_graph_tfadd.config.pbtxt	4
tensorflow/compiler/aot/test_graph_tfadd.pbtxt	2
tensorflow/compiler/aot/test_graph_tfunknownop.config.pbtxt	4
tensorflow/compiler/aot/test_graph_tfunknownop.pbtxt	5
tensorflow/compiler/aot/test_graph_tfunknownop2.config.pbtxt	4
tensorflow/compiler/aot/test_graph_tfunknownop3.config.pbtxt	4
tensorflow/compiler/aot/tests/BUILD	6
tensorflow/compiler/aot/tests/make_test_graphs.py	6
tensorflow/compiler/aot/tests/test_graph_tfadd.config.pbtxt	3
tensorflow/compiler/aot/tests/test_graph_tfadd_with_ckpt.config.pbtxt	3
tensorflow/compiler/aot/tests/test_graph_tfassert_eq.config.pbtxt	1
tensorflow/compiler/aot/tests/test_graph_tfcond.config.pbtxt	1
tensorflow/compiler/aot/tests/test_graph_tffunction.config.pbtxt	3
tensorflow/compiler/aot/tests/test_graph_tfgather.config.pbtxt	3
tensorflow/compiler/aot/tests/test_graph_tfmatmul.config.pbtxt	3
tensorflow/compiler/aot/tests/test_graph_tfmatmulandadd.config.pbtxt	3
tensorflow/compiler/aot/tests/test_graph_tfsplits.config.pbtxt	3
tensorflow/compiler/aot/tests/tfcompile_test.cc	6
tensorflow/compiler/aot/tfcompile.bzl	6
tensorflow/compiler/aot/tfcompile_main.cc	6
tensorflow/compiler/jit/BUILD	6
tensorflow/compiler/jit/build_xla_launch_ops_pass.cc	6
tensorflow/compiler/jit/build_xla_launch_ops_pass.h	1
tensorflow/compiler/jit/create_xla_launch_op.cc	6
tensorflow/compiler/jit/create_xla_launch_op.h	2
tensorflow/compiler/jit/create_xla_launch_op_test.cc	4
tensorflow/compiler/jit/deadness_analysis.cc	6
tensorflow/compiler/jit/deadness_analysis.h	1
tensorflow/compiler/jit/deadness_analysis_internal.h	2
tensorflow/compiler/jit/deadness_analysis_test.cc	4
tensorflow/compiler/jit/defs.cc	2
tensorflow/compiler/jit/defs.h	2
tensorflow/compiler/jit/encapsulate_subgraphs_pass.cc	6
tensorflow/compiler/jit/encapsulate_subgraphs_pass.h	6
tensorflow/compiler/jit/encapsulate_subgraphs_pass_test.cc	6
tensorflow/compiler/jit/graphcycles/BUILD	3
tensorflow/compiler/jit/graphcycles/graphcycles.cc	5
tensorflow/compiler/jit/graphcycles/graphcycles.h	2
tensorflow/compiler/jit/graphcycles/graphcycles_test.cc	4
tensorflow/compiler/jit/jit_compilation_pass_registration.cc	2
tensorflow/compiler/jit/kernels/BUILD	6
tensorflow/compiler/jit/kernels/xla_launch_op.cc	6
tensorflow/compiler/jit/kernels/xla_launch_op.h	6
tensorflow/compiler/jit/legacy_flags/BUILD	4
tensorflow/compiler/jit/legacy_flags/mark_for_compilation_pass_flags.cc	4
tensorflow/compiler/jit/legacy_flags/mark_for_compilation_pass_flags.h	4
tensorflow/compiler/jit/legacy_flags/parallel_check_op_flags.cc	1
tensorflow/compiler/jit/legacy_flags/parallel_check_op_flags.h	1
tensorflow/compiler/jit/legacy_flags/xla_device_flags.cc	1
tensorflow/compiler/jit/legacy_flags/xla_device_flags.h	1
tensorflow/compiler/jit/mark_for_compilation_pass.cc	6
tensorflow/compiler/jit/mark_for_compilation_pass.h	3
tensorflow/compiler/jit/mark_for_compilation_pass_test.cc	6
tensorflow/compiler/jit/mark_for_compilation_pass_test_helper.cc	2
tensorflow/compiler/jit/mark_for_compilation_pass_test_helper.h	2
tensorflow/compiler/jit/ops/BUILD	4
tensorflow/compiler/jit/ops/xla_ops.cc	2
tensorflow/compiler/jit/partially_decluster_pass.cc	2
tensorflow/compiler/jit/partially_decluster_pass.h	1
tensorflow/compiler/jit/partially_decluster_pass_test.cc	2
tensorflow/compiler/jit/producer_consumer_queue.h	1
tensorflow/compiler/jit/producer_consumer_queue_test.cc	1
tensorflow/compiler/jit/resource_operation_safety_analysis.cc	4
tensorflow/compiler/jit/resource_operation_safety_analysis.h	2
tensorflow/compiler/jit/resource_operation_safety_analysis_test.cc	3
tensorflow/compiler/jit/shape_inference_helpers.cc	1
tensorflow/compiler/jit/shape_inference_helpers.h	1
tensorflow/compiler/jit/union_find.h	1
tensorflow/compiler/jit/xla_cluster_util.cc	6
tensorflow/compiler/jit/xla_cluster_util.h	5
tensorflow/compiler/jit/xla_cluster_util_test.cc	2
tensorflow/compiler/jit/xla_compilation_cache.cc	6
tensorflow/compiler/jit/xla_compilation_cache.h	6
tensorflow/compiler/jit/xla_compile_on_demand_op.cc	6
tensorflow/compiler/jit/xla_compile_on_demand_op.h	2
tensorflow/compiler/jit/xla_cpu_device.cc	6
tensorflow/compiler/jit/xla_device.cc	6
tensorflow/compiler/jit/xla_device.h	6
tensorflow/compiler/jit/xla_device_context.cc	6
tensorflow/compiler/jit/xla_device_context.h	6
tensorflow/compiler/jit/xla_device_ops.cc	5
tensorflow/compiler/jit/xla_device_ops.h	6
tensorflow/compiler/jit/xla_fusion_optimizer.cc	6
tensorflow/compiler/jit/xla_fusion_optimizer.h	1
tensorflow/compiler/jit/xla_fusion_optimizer_test.cc	2
tensorflow/compiler/jit/xla_gpu_device.cc	6
tensorflow/compiler/jit/xla_interpreter_device.cc	6
tensorflow/compiler/jit/xla_launch_util.cc	6
tensorflow/compiler/jit/xla_launch_util.h	6
tensorflow/compiler/jit/xla_launch_util_test.cc	2
tensorflow/compiler/jit/xla_tensor.cc	6
tensorflow/compiler/jit/xla_tensor.h	6
tensorflow/compiler/plugin/BUILD	6
tensorflow/compiler/plugin/README.md	2
tensorflow/compiler/tests/BUILD	6
tensorflow/compiler/tests/adadelta_test.py	2
tensorflow/compiler/tests/adagrad_da_test.py	2
tensorflow/compiler/tests/adagrad_test.py	5
tensorflow/compiler/tests/adam_test.py	5
tensorflow/compiler/tests/adamax_test.py	2
tensorflow/compiler/tests/addsign_test.py	4
tensorflow/compiler/tests/argminmax_test.py	5
tensorflow/compiler/tests/binary_ops_test.py	6
tensorflow/compiler/tests/bucketize_op_test.py	3
tensorflow/compiler/tests/build_defs.bzl	6
tensorflow/compiler/tests/categorical_op_test.py	4
tensorflow/compiler/tests/cholesky_op_test.py	5
tensorflow/compiler/tests/clustering_test.py	4
tensorflow/compiler/tests/concat_ops_test.py	6
tensorflow/compiler/tests/conv2d_test.py	6
tensorflow/compiler/tests/conv3d_test.py	3
tensorflow/compiler/tests/dense_layer_test.py	3
tensorflow/compiler/tests/depthwise_conv_op_test.py	4
tensorflow/compiler/tests/dynamic_slice_ops_test.py	3
tensorflow/compiler/tests/dynamic_stitch_test.py	3
tensorflow/compiler/tests/eager_test.py	6
tensorflow/compiler/tests/extract_image_patches_op_test.py	3
tensorflow/compiler/tests/fake_quant_ops_test.py	3
tensorflow/compiler/tests/fft_test.py	6
tensorflow/compiler/tests/fifo_queue_test.py	2
tensorflow/compiler/tests/ftrl_test.py	6
tensorflow/compiler/tests/function_test.py	6
tensorflow/compiler/tests/fused_batchnorm_test.py	6
tensorflow/compiler/tests/gather_nd_op_test.py	3
tensorflow/compiler/tests/gather_test.py	6
tensorflow/compiler/tests/image_ops_test.py	6
tensorflow/compiler/tests/jit_test.py	6
tensorflow/compiler/tests/listdiff_op_test.py	2
tensorflow/compiler/tests/lrn_ops_test.py	4
tensorflow/compiler/tests/lstm.py	2
tensorflow/compiler/tests/lstm_layer_inference.config.pbtxt	3
tensorflow/compiler/tests/lstm_layer_inference.pbtxt	1
tensorflow/compiler/tests/lstm_test.py	3
